fundingTime,fundingRate,mark_candle_ts,mark_close,spot_candle_ts,spot_close,align_ok,mark_skew_ms,spot_skew_ms
1746028800000,6.40454833508e-05,1746028800000,93901.0,1746028800000,93948.7,1,0,0
1746057600000,7.8225554933e-06,1746057600000,94340.7,1746057600000,94401.3,1,0,0
1746086400000,1.07070720484e-05,1746086400000,95147.4,1746086400000,95197.1,1,0,0
1746115200000,-4.31672761141e-05,1746115200000,96962.2,1746115200000,97007.9,1,0,0
1746144000000,4.9134354431e-05,1746144000000,96990.1,1746144000000,97041.8,1,0,0
1746172800000,3.97700292374e-05,1746172800000,96595.7,1746172800000,96641.2,1,0,0
1746201600000,-3.83599574601e-05,1746201600000,97300.0,1746201600000,97351.8,1,0,0
1746230400000,-2.106174506e-06,1746230400000,96653.1,1746230400000,96702.0,1,0,0
1746259200000,-1.30941855034e-05,1746259200000,96250.0,1746259200000,96302.0,1,0,0
1746288000000,1.36727352674e-05,1746288000000,96168.9,1746288000000,96215.1,1,0,0
1746316800000,6.95142110183e-05,1746316800000,95820.0,1746316800000,95873.9,1,0,0
1746345600000,4.89665159632e-05,1746345600000,95613.2,1746345600000,95650.0,1,0,0
1746374400000,1.02761141087e-05,1746374400000,95294.9,1746374400000,95347.2,1,0,0
1746403200000,3.309450461e-07,1746403200000,94665.5,1746403200000,94714.1,1,0,0
1746432000000,2.5726219074e-05,1746432000000,94527.2,1746432000000,94567.8,1,0,0
1746460800000,6.0120168603e-05,1746460800000,94168.6,1746460800000,94216.0,1,0,0
1746489600000,-8.928223341e-06,1746489600000,94563.9,1746489600000,94606.3,1,0,0
1746518400000,-8.5322242336e-06,1746518400000,94332.4,1746518400000,94379.9,1,0,0
1746547200000,-1.10378224854e-05,1746547200000,94194.6,1746547200000,94238.0,1,0,0
1746576000000,-6.7795375884e-06,1746576000000,97373.0,1746576000000,97418.1,1,0,0
1746604800000,7.9004691097e-05,1746604800000,96963.5,1746604800000,97018.4,1,0,0
1746633600000,-2.48419128318e-05,1746633600000,96810.0,1746633600000,96856.1,1,0,0
1746662400000,-1.08160976437e-05,1746662400000,97727.3,1746662400000,97763.9,1,0,0
1746691200000,0.0001,1746691200000,99615.7,1746691200000,99671.7,1,0,0
1746720000000,5.08058442283e-05,1746720000000,101233.3,1746720000000,101286.0,1,0,0
1746748800000,0.0001,1746748800000,102770.8,1746748800000,102815.0,1,0,0
1746777600000,0.0001,1746777600000,102950.9,1746777600000,102966.8,1,0,0
1746806400000,1.6868711285e-06,1746806400000,102434.9,1746806400000,102483.9,1,0,0
1746835200000,5.88123609511e-05,1746835200000,102814.4,1746835200000,102860.1,1,0,0
1746864000000,9.9755120855e-05,1746864000000,103589.0,1746864000000,103638.2,1,0,0
1746892800000,0.0001,1746892800000,103412.3,1746892800000,103451.0,1,0,0
1746921600000,0.0001,1746921600000,104394.5,1746921600000,104419.6,1,0,0
1746950400000,3.63546282896e-05,1746950400000,103773.6,1746950400000,103817.4,1,0,0
1746979200000,9.5093425192e-05,1746979200000,103949.8,1746979200000,103992.0,1,0,0
1747008000000,3.48169154459e-05,1747008000000,104537.1,1747008000000,104593.3,1,0,0
1747036800000,0.0001,1747036800000,104558.0,1747036800000,104608.9,1,0,0
1747065600000,8.07735089841e-05,1747065600000,102810.8,1747065600000,102846.1,1,0,0
1747094400000,7.85974223231e-05,1747094400000,102234.6,1747094400000,102273.8,1,0,0
1747123200000,6.9154759866e-05,1747123200000,102665.1,1747123200000,102712.0,1,0,0
1747152000000,0.0001,1747152000000,103677.4,1747152000000,103730.0,1,0,0
1747180800000,0.0001,1747180800000,103867.8,1747180800000,103924.5,1,0,0
1747209600000,5.89500417609e-05,1747209600000,103147.2,1747209600000,103207.5,1,0,0
1747238400000,5.64287212759e-05,1747238400000,103330.5,1747238400000,103371.4,1,0,0
1747267200000,1.15991581556e-05,1747267200000,103755.7,1747267200000,103799.9,1,0,0
1747296000000,8.13454541166e-05,1747296000000,102221.5,1747296000000,102267.9,1,0,0
1747324800000,4.74631606875e-05,1747324800000,103807.3,1747324800000,103838.0,1,0,0
1747353600000,8.77621647427e-05,1747353600000,103728.5,1747353600000,103760.7,1,0,0
1747382400000,0.0001,1747382400000,103367.8,1747382400000,103400.0,1,0,0
1747411200000,2.2588895669e-05,1747411200000,104088.3,1747411200000,104146.9,1,0,0
1747440000000,-1.66507782495e-05,1747440000000,103300.1,1747440000000,103349.1,1,0,0
1747468800000,5.86917219088e-05,1747468800000,103367.2,1747468800000,103418.0,1,0,0
1747497600000,6.16947516587e-05,1747497600000,102908.3,1747497600000,102952.0,1,0,0
1747526400000,0.0001,1747526400000,103330.0,1747526400000,103378.6,1,0,0
1747555200000,0.0001,1747555200000,103883.9,1747555200000,103908.6,1,0,0
1747584000000,0.0001,1747584000000,105795.4,1747584000000,105818.0,1,0,0
1747612800000,0.0001,1747612800000,105245.5,1747612800000,105250.3,1,0,0
1747641600000,5.87277255139e-05,1747641600000,103189.9,1747641600000,103239.3,1,0,0
1747670400000,-6.115978831e-06,1747670400000,105332.0,1747670400000,105365.7,1,0,0
1747699200000,0.0001,1747699200000,105706.4,1747699200000,105719.6,1,0,0
1747728000000,0.0001,1747728000000,105193.1,1747728000000,105225.3,1,0,0
1747756800000,7.21398014337e-05,1747756800000,105161.9,1747756800000,105213.9,1,0,0
1747785600000,7.31866294177e-05,1747785600000,106701.3,1747785600000,106745.9,1,0,0
1747814400000,0.0001,1747814400000,106338.3,1747814400000,106386.0,1,0,0
1747843200000,4.41730152301e-05,1747843200000,109086.4,1747843200000,109130.9,1,0,0
1747872000000,0.0001,1747872000000,109924.4,1747872000000,109962.0,1,0,0
1747900800000,0.0001,1747900800000,110382.5,1747900800000,110400.0,1,0,0
1747929600000,0.0001,1747929600000,111210.8,1747929600000,111259.9,1,0,0
1747958400000,5.00864049387e-05,1747958400000,111563.5,1747958400000,111611.9,1,0,0
1747987200000,0.0001,1747987200000,110881.8,1747987200000,110930.0,1,0,0
1748016000000,6.39925758241e-05,1748016000000,109032.2,1748016000000,109077.4,1,0,0
1748044800000,7.00781411061e-05,1748044800000,107326.5,1748044800000,107370.2,1,0,0
1748073600000,9.78884787909e-05,1748073600000,108212.6,1748073600000,108246.6,1,0,0
1748102400000,0.0001,1748102400000,108951.9,1748102400000,109005.1,1,0,0
1748131200000,0.0001,1748131200000,107415.1,1748131200000,107435.9,1,0,0
1748160000000,6.35397311851e-05,1748160000000,107080.3,1748160000000,107120.0,1,0,0
1748188800000,7.22316980628e-05,1748188800000,107156.5,1748188800000,107184.2,1,0,0
1748217600000,0.0001,1748217600000,109499.8,1748217600000,109534.1,1,0,0
1748246400000,0.0001,1748246400000,109632.4,1748246400000,109660.0,1,0,0
1748275200000,0.0001,1748275200000,109357.6,1748275200000,109386.1,1,0,0
1748304000000,0.0001,1748304000000,109115.1,1748304000000,109152.3,1,0,0
1748332800000,5.14767620918e-05,1748332800000,109644.7,1748332800000,109693.8,1,0,0
1748361600000,3.73499194977e-05,1748361600000,110183.0,1748361600000,110222.0,1,0,0
1748390400000,0.0001,1748390400000,109166.3,1748390400000,109204.3,1,0,0
