time,low,high,open,close,volume
1694649600,26128.25,26869.06,26227.16,26532.76,12929.08237721
1694736000,26213.96,26892.65,26532.5,26602.42,9345.93913701
1694822400,26453.32,26777,26601.71,26569.69,4132.04817572
1694908800,26405.04,26626.49,26569.69,26530.95,3252.26976131
1694995200,26382.13,27427.34,26530.96,26764.49,17493.70820354
1695081600,26666.93,27500,26764.03,27216.13,14386.07884728
1695168000,26798.98,27393.78,27216.52,27123.94,11590.24027633
1695254400,26359.7,27163.48,27122.65,26564.54,11801.98943642
1695340800,26467.94,26742.86,26564.54,26578.4,8563.0523313
1695427200,26513,26638.58,26578.4,26579.6,2597.25705711
1695513600,26118.86,26731.1,26579.59,26250.24,4587.80529114
1695600000,25983.78,26444.95,26248.17,26296.08,10762.98401397
1695686400,26080,26397.59,26296.07,26208.44,7016.42122845
1695772800,26088.37,26830,26208.43,26357.62,14123.89690964
1695859200,26321.37,27313.86,26357.56,27027.14,18975.87763693
1695945600,26661.71,27238.9,27027.44,26907,12712.27177691
1696032000,26884.86,27097.25,26905.57,26961,4413.30948101
1696118400,26955.25,28062.62,26961,27995.46,8747.06888783
1696204800,27302.3,28613.37,27995.46,27504.04,25148.25341854
1696291200,27160.47,27672.12,27504.03,27428.96,14334.10857629
1696377600,27208.65,27842.38,27428.96,27786.75,10238.17053376
1696464000,27358.05,28140,27786.12,27412.96,14136.04783544
1696550400,27173.41,28288.88,27413.15,27945.17,12908.75146274
1696636800,27861.2,28040.84,27945.17,27976.43,3489.91595717
1696723200,27708.6,28109.94,27976.44,27933.55,4118.56381073
1696809600,27268.63,28003.7,27933.54,27596.67,10218.62556021
1696896000,27291.81,27739.94,27596.67,27393.29,10265.79357936
1696982400,26521.32,27478.61,27393.28,26869.19,16466.26612207
1697068800,26537.72,26939.55,26867.97,26750.51,7881.21504857
1697155200,26662.62,27122.24,26752.06,26863.53,8694.60097059
1697241600,26797,26988.12,26863.54,26851.71,2786.76009652
1697328000,26806.06,27301.37,26851.71,27186.13,6215.85130529
1697414400,27135.92,30000,27186.13,28520.24,36471.7502374
1697500800,28083.19,28637.21,28520.24,28408.83,14171.43180714
1697587200,28151.6,28999.98,28408.51,28326.51,11820.68114047
1697673600,28122.57,28938.96,28326.24,28735.34,12662.68000489
1697760000,28591.85,30248,28734.51,29684.73,20095.91529217
1697846400,29475.06,30369,29684.73,29924.84,6369.9347533
1697932800,29670,30275,29925.91,30004.15,5720.28965895
1698019200,29890.89,35000,30004.14,33087.58,33228.46734771
1698105600,32851.45,35157.23,33079.72,33922.52,38506.35962554
1698192000,33690.91,35144,33921.66,34506.35,18668.45817435
1698278400,33735.86,34843.04,34504.33,34154.71,15867.44697165
1698364800,33400,34249.99,34153.35,33906.09,13879.04330119
1698451200,33867.38,34500,33905.96,34085.42,4372.52724873
1698537600,33937.31,34763,34085.42,34534.48,5547.09585659
1698624000,34077.9,34871,34534.48,34493.79,10183.77616922
1698710400,34038.79,34732.18,34493.51,34656.4,9282.02866788
1698796800,34079.46,35647.19,34656.38,35440.1,16197.45981756
1698883200,34311.73,35997.8,35440.1,34950,13455.65527035
1698969600,34100,34954.6,34947.92,34731.27,13961.70014519
1699056000,34599.85,35278.4,34730.32,35087.01,4696.70148339
1699142400,34500,35410,35087.43,35035.42,5892.67329337
1699228800,34753.66,35294.12,35035.79,35059.46,7088.27153194
1699315200,34530.67,35963,35059.46,35416.28,13841.59195597
1699401600,35103.14,36113.59,35416.63,35639.13,12253.15808483
1699488000,35555.16,37999,35639.13,36706.59,29045.85195583
1699574400,36334.46,37548.8,36704.01,37324.83,15183.168535
1699660800,36701.5,37424.03,37324.84,37139.12,5344.45382766
1699747200,36740.9,37247,37139.94,37086.03,3317.50278576
1699833600,36351,37442.48,37086.5,36475.67,10543.29564712
1699920000,34758.64,36756.16,36475.68,35554.09,16008.49077729
1700006400,35358.45,37987,35554.1,37885.35,19941.6757032
1700092800,35511.11,37958.75,37885.35,36161.15,18455.96829165
1700179200,35869,36831.99,36161.15,36630.38,12218.85138403
1700265600,36205.89,36857.15,36631.56,36594.89,3468.39821362
1700352000,36404.52,37546.62,36596.14,37391.19,4366.44892344
1700438400,36720,37784.07,37389.06,37475.64,14114.01039926
1700524800,35744.9,37675.77,37472.76,35751.89,20837.73934338
1700611200,35633,37875,35755.33,37424.31,17606.97239528
1700697600,36888,37653.67,37424.31,37304.05,7211.31754936
1700784000,37257.56,38454,37304.04,37745.84,17507.8900414
1700870400,37615.91,37920.27,37746.29,37805.99,3567.42244915
1700956800,37156.72,37842.17,37806.84,37462.79,6113.0562518
1701043200,36715.1,37578.42,37462.01,37241.63,13510.45476059
1701129600,36873.55,38425.96,37241.64,37838.26,18156.47258233
1701216000,37581.93,38480,37838.26,37863.84,15162.68883049
1701302400,37500,38152.18,37864.79,37732.27,8081.19248391
1701388800,37618.25,39000,37732.27,38703.54,16395.90197806
1701475200,38660.03,39740,38706.55,39478.95,7540.7688183
1701561600,39293.02,40221.22,39467.42,39984.81,7153.15663784
1701648000,39983.6,42410.46,39984.81,41987.24,21993.05995554
1701734400,41384.03,45000,41985.53,44084.39,24018.76035474
1701820800,43369,44290.37,44086.33,43764.05,15977.55938336
1701907200,42846.53,44057.23,43766.41,43280.95,13055.36691088
1701993600,43087.17,44754.99,43281.11,44192.87,13579.40860176
1702080000,43586.14,44384.68,44192.86,43723.25,5469.40708431
1702166400,43562.06,44049.51,43722.84,43793.68,3919.09423649
1702252800,40150,43811.81,43793.67,41229.61,25524.67094691
1702339200,40636.51,42088.56,41229.61,41477.39,13414.86773655
1702425600,40553.15,43475,41477.6,42885.54,15798.66423037
1702512000,41426.76,43442.15,42887.39,43027.77,15434.25971384
1702598400,41640.51,43095.71,43027.77,41933.89,10861.72864667
1702684800,41626.66,42680.2,41934.84,42237.29,5315.65582307
1702771200,41222,42367.82,42235.23,41349.59,6649.06495765
1702857600,40508.01,42754.79,41349.59,42650.01,13394.33474824
1702944000,41780,43461.86,42650.01,42266.22,13403.93447528
1703030400,42184.48,44324.86,42266.25,43674.77,19307.1089644
1703116800,43295.78,44250,43673.11,43875.32,13170.9728222
1703203200,43412.82,44424.36,43875.56,44013.73,10733.55348079
1703289600,43333.35,44033.84,44013.65,43726.35,4075.08953972
1703376000,42614.17,43985.67,43728.36,43025.03,4947.00165569
1703462400,42755.35,43818.29,43025.02,43589.67,4799.73104807
1703548800,41600.67,43605,43589.67,42515.53,13035.02745535
1703635200,42111.47,43709.98,42521.21,43474.4,12917.48404475
1703721600,42265.08,43830.34,43469.06,42581.23,13583.91599843
1703808000,41300,43137.1,42581.23,42063.45,16756.43323881
1703894400,41518.19,42593.73,42064.22,42141.03,11609.82377015
1703980800,41964.68,42850,42139.32,42288.06,11397.57303743
1704067200,42175.65,44240.8,42288.58,44220.78,7977.72851143
1704153600,44195.13,45925.82,44220.78,44972.8,29583.38407747
1704240000,40625.68,45519.32,44972.81,42862.44,32281.85234351
1704326400,42650,44800,42860.58,44193.29,18193.81684353
1704412800,42450,44443.37,44198.35,44186.59,18073.09561495
1704499200,43436.5,44260.95,44187.76,43992.44,5691.43460343
1704585600,43629.7,44510.01,43992.79,43950.28,5931.34650683
1704672000,43200.44,47330,43954.52,46995.1,26447.17326625
1704758400,44701.54,47901,46995.09,46124.08,26305.56366042
1704844800,44320.01,47732.5,46120.79,46666.11,36534.39765866
1704931200,45555.55,49102.29,46678.54,46342.66,38150.89478822
1705017600,41444.97,46522.2,46344.96,42773.03,46862.43347199
1705104000,42427,43250,42775.1,42839.33,10998.76404264
1705190400,41680.73,43064.13,42839.32,41697.33,7834.26155365
1705276800,41680,43331.91,41698.13,42490.16,10869.45830576
1705363200,42028.02,43569.23,42481.69,43130.45,18180.4405406
1705449600,42160,43185.47,43130.35,42739.49,16381.8407159
1705536000,40600.05,42877.22,42737.68,41293.5,25097.42399202
1705622400,40236.49,42159.52,41290.57,41624.07,22745.55271173
1705708800,41418.55,41846.15,41623.94,41666.67,4836.63124969
1705795200,41472.49,41858.59,41666.67,41554.05,3138.26294449
1705881600,39372.44,41658,41553.92,39524.27,26539.34338688
1705968000,38501,40144.49,39524.27,39878.3,21966.56334645
1706054400,39382.15,40527.26,39878.28,40077.78,17438.97734668
1706140800,39503,40282.87,40079.87,39941.66,12978.7331205
1706227200,39805.95,42243.14,39941.66,41814.8,19359.37921096
1706313600,41383.94,42199.99,41814.96,42126.55,3774.45056434
1706400000,41617.53,42839.07,42126.55,42034.59,4298.44263812
1706486400,41787.35,43326.77,42034.57,43306.18,12529.09255982
1706572800,42680.2,43872.99,43303.3,42942.78,16384.61219735
1706659200,42265.77,43741.94,42937.72,42548.08,15320.62044085
1706745600,41846.04,43276.19,42545.47,43078.81,11526.63383073
1706832000,42527.58,43700,43080.38,43181.66,12202.24125895
1706918400,42863.58,43358.13,43183.62,43010.67,2254.45335539
1707004800,42228.01,43100,43007.82,42568.55,2643.251649
1707091200,42235,43520,42571.91,42657.67,8756.87806894
1707177600,42516.07,43372.79,42658.3,43095.79,7940.36830921
1707264000,42760.44,44430,43097.16,44343.61,12440.36853251
1707350400,44335,45637.38,44345.94,45305.2,19283.80580787
1707436800,45252.93,48230.02,45304.83,47160.41,22108.85067543
1707523200,46889.53,48179.43,47157.01,47767.06,5663.309891
1707609600,47590.3,48614,47767.06,48316.3,5243.1260706
1707696000,47715.67,50363.42,48321.14,49941.81,18545.08725852
1707782400,48327.81,50423.42,49941.95,49725.36,20471.56790372
1707868800,49253.92,52111,49724.55,51858.59,20249.94369733
1707955200,51353.49,52890,51858.51,51934.29,18465.04404385
1708041600,51597.87,52608.2,51935.23,52162.64,13816.27351282
1708128000,50642.36,52214.05,52162.65,51666.22,5387.3486576
1708214400,51174.38,52400,51666.23,52153.63,3997.17143898
1708300800,51687.98,52501.01,52153.63,51787.05,6009.01451962
1708387200,50764.01,53000,51787.05,52277.52,15888.87599974
1708473600,50628.6,52394.91,52277.53,51851.67,13735.03407249
1708560000,50905.65,52076,51851.46,51258.7,13104.51408087
1708646400,50513.01,51512.68,51260.29,50747.05,11679.16625824
1708732800,50576.55,51696.19,50746.98,51570.65,3448.96576791
1708819200,51275.01,51967.82,51568.63,51731,3617.40106809
1708905600,50901.23,54980,51730.96,54533.48,22422.38763854
1708992000,54490.8,57646.81,54530.32,57077.07,28791.48651731
1709078400,56723.48,64100,57077.08,62518.9,48265.6721171
1709164800,60355.61,63675.48,62520.06,61179.03,36825.89535085
1709251200,60788.33,63267.18,61179.03,62436.72,24696.65692545
1709337600,61623.39,62500,62439.74,62045.78,6882.38410251
1709424000,61388,63260,62045.78,63154.49,7314.17629968
1709510400,62300,68602.98,63155.74,68360.14,40600.36656889
1709596800,59224.68,69324.58,68356.7,63800.78,65575.09537327
1709683200,62832.39,67654.06,63802.15,66122.28,34655.98799427
1709769600,65599.63,68098.09,66115.48,66938.21,22228.36739914
1709856000,66157.09,70199,66938.21,68289.16,33749.52797544
1709942400,68047.62,68700.41,68289.16,68480,9005.50992187
1710028800,68221.13,70000,68480.01,69032.12,12163.05713369
1710115200,67112.21,72943.98,69032.8,72110.98,32332.72583229
1710201600,68603,73027.63,72110.98,71475.93,29420.19277654
1710288000,71337.3,73709.99,71473.43,73135.04,21455.92195688
1710374400,68454.47,73835.57,73135.04,71364.58,34226.602618
1710460800,65565.7,72414.96,71364.58,69506.88,40195.84231178
1710547200,64774.05,70050,69514.87,65254.22,16532.825303
1710633600,64505,68877.82,65254.22,68343.64,12631.85084112
1710720000,66562.65,68933.71,68354.29,67613.04,20057.37580028
1710806400,61506,68136.39,67609.39,61906.27,40111.97553957
1710892800,60771.14,68150,61902.57,67858.8,38590.78345488
1710979200,64525,68234.56,67855.88,65484.7,18523.96247162
1711065600,62258.36,66651.1,65478.98,63814.56,17807.65930238
1711152000,63013.19,66029.09,63814.56,63998.86,7395.08270425
1711238400,63785.57,67637.6,63998.87,67204.93,6535.8276512
1711324800,66381.84,71269.92,67212.69,69890.28,22228.13803338
1711411200,69269.69,71582.96,69895.6,69992.4,15697.73440865
1711497600,68369.62,71789.85,69994.9,69435.96,18703.73738295
1711584000,68841.01,71635.99,69437.16,70801.18,15224.17928189
1711670400,69036.95,70941.7,70804.06,69903.75,7365.03204354
1711756800,69569.03,70363.25,69903.74,69626.87,3262.62331859
1711843200,69587.86,71399.91,69623.86,71288.9,4424.66955382
1711929600,68055.15,71313.8,71291.5,69681.82,13916.60016523
1712016000,64521.61,69711,69681.85,65464.14,23496.58634089
1712102400,64500,66944.06,65472,65987.92,14506.55934744
1712188800,65073.95,69367.19,65984.18,68525.23,18624.08140025
1712275200,66000,68783.99,68528.69,67856.51,15515.82134206
1712361600,67469.19,69685,67856.51,68919.89,3985.44167764
1712448000,68846.23,70312,68919.57,69350.34,5766.41938443
1712534400,69037.33,72777,69350.36,71622.53,16648.69284289
1712620800,68200,71761.37,71616.31,69117.01,15143.52341376
1712707200,67463.07,71159.6,69115.79,70634.04,16655.987797
1712793600,69530,71305.86,70638.4,70020.73,11001.16448135
1712880000,65110.31,71265.74,70020.71,67148.61,23509.75554216
